Name 1,Name 1 Position,Name 2,Name 2 Position,Weight,Relation Type,Relation Type (Specific),Date Precise,Date General,Papyri No.,Location
The Foundation of the Three Saints of Antinoopolis,,Herma(o)(u)os 16,Aristocrat/Government Officials,,Lease,Lease,511,511.0,P.Cair.Masp. 1.67101,Aphrodito
Anouphi(o)s 10,,Sophia 4,Merchant,,Lease,Lease,511,511,P.Cair.Masp. 1.67101,Aphrodito
Herma(o)(u)os 16,Aristocrat/Government Officials,Sophia 4,Merchant,,Lease,Lease,511,511,P.Cair.Masp. 1.67101,Aphrodito
The Foundation of the Three Saints of Antinoopolis,,Sophia 4,Merchant,,Lease,Lease,511,511.0,P.Cair.Masp. 1.67101,Aphrodito
Besarion 1,,Apollos 2,Aristocrat/Government Officials,,Financial,Financial,514,514,P.Cair.Masp. 1.67124,Aphrodito
Charisios 4,,Apollos 2,Aristocrat/Government Officials,,Financial,Financial,514,514,P.Cair.Masp. 1.67124,Aphrodito
Charisios 4,,Besarion 1,,,Financial,Financial,514,514,P.Cair.Masp. 1.67124,Aphrodito
Besarion 1,,Charisios 4,,,Financial,Financial,514,514,P.Cair.Masp. 1.67124,Aphrodito
Isak(i)(os) 15,Farm worker,Isak(i)(os) 16,,,Lease,Lease,514,514.0,P.FIor. 3.279,Aphrodito
Psentereous 1,Domestic Worker,Isak(i)(os) 16,,,Lease,Lease,514,514.0,P.FIor. 3.279,Aphrodito
Isak(i)(os) 15,Farm worker,Psentereous 1,Domestic Worker,,Lease,Lease,514,514.0,P.FIor. 3.279,Aphrodito
Herma(o)(u)os 17,,Anouphi(o)s 11,Craftsman,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,?
Ioannes 56,,Anouphi(o)s 11,Craftsman,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,?
Isak(i)(os) 15,Farm worker,Anouphi(o)s 11,Craftsman,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Mousaios 8,Commoner,Anouphi(o)s 11,Craftsman,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,?
Apollos 42,Commoner,Apollos 2,Aristocrat/Government Officials,60,Legal,Legal,514,514.0,P.Flor. 3.280,Aphrodito
Bottos 1,,Apollos 2,Aristocrat/Government Officials,60,Legal,Legal,514,514.0,P.Flor. 3.280,Aphrodito
Hadrianos 2,,Apollos 2,Aristocrat/Government Officials,,Legal,Legal,514,514,P.Cair.Masp. 1.67124,Aphrodito
Hadrianos 2,,Apollos 2,Aristocrat/Government Officials,,Legal,Legal,514,514,P.Cair.Masp. 1.67124,Aphrodito
Ouiktor 1,Aristocrat/Government Officials,Apollos 2,Aristocrat/Government Officials,60,Legal,Legal,514,514.0,P.Flor. 3.280,Aphrodito
Herma(o)(u)os 17,,Apollos 38,Farm worker,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,?
Ioannes 56,,Apollos 38,Farm worker,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,?
Isak(i)(os) 15,Farm worker,Apollos 38,Farm worker,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Mousaios 8,Commoner,Apollos 38,Farm worker,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,?
Hadrianos 2,,Besarion 1,,,Legal,Legal,514,514,P.Cair.Masp. 1.67124,Aphrodito
Hadrianos 2,,Besarion 1,,,Legal,Legal,514,514,P.Cair.Masp. 1.67124,Aphrodito
Herma(o)(u)os 17,,Biktor 43,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,?
Ioannes 56,,Biktor 43,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,?
Isak(i)(os) 15,Farm worker,Biktor 43,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Mousaios 8,Commoner,Biktor 43,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,?
Herma(o)(u)os 17,,Biktor 45,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,?
Ioannes 56,,Biktor 45,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,?
Isak(i)(os) 15,Farm worker,Biktor 45,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Mousaios 8,Commoner,Biktor 45,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,?
Herma(o)(u)os 17,,Biktor 46,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,?
Ioannes 56,,Biktor 46,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,?
Isak(i)(os) 15,Farm worker,Biktor 46,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Mousaios 8,Commoner,Biktor 46,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,?
Herma(o)(u)os 17,,Biktor 47,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,?
Ioannes 56,,Biktor 47,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,?
Isak(i)(os) 15,Farm worker,Biktor 47,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Mousaios 8,Commoner,Biktor 47,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,?
Hadrianos 2,,Charisios 4,,,Legal,Legal,514,514,P.Cair.Masp. 1.67124,Aphrodito
Hadrianos 2,,Charisios 4,,,Legal,Legal,514,514,P.Cair.Masp. 1.67124,Aphrodito
Apollos 42,Commoner,Dau(e)id 4,,60,Legal,Legal,514,514.0,P.Flor. 3.280,Aphrodito
Bottos 1,,Dau(e)id 4,,60,Legal,Legal,514,514.0,P.Flor. 3.280,Aphrodito
Ouiktor 1,Aristocrat/Government Officials,Dau(e)id 4,,60,Legal,Legal,514,514.0,P.Flor. 3.280,Aphrodito
Apollos 42,Commoner,Hadrianos 2,,60,Legal,Legal,514,514.0,P.Flor. 3.280,Aphrodito
Bottos 1,,Hadrianos 2,,60,Legal,Legal,514,514.0,P.Flor. 3.280,Aphrodito
Ouiktor 1,Aristocrat/Government Officials,Hadrianos 2,,60,Legal,Legal,514,514.0,P.Flor. 3.280,Aphrodito
Herma(o)(u)os 17,,Herma(o)(u)os 19,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Ioannes 56,,Herma(o)(u)os 19,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Isak(i)(os) 15,Farm worker,Herma(o)(u)os 19,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Mousaios 8,Commoner,Herma(o)(u)os 19,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Herma(o)(u)os 17,,Herma(o)(u)os 20,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Ioannes 56,,Herma(o)(u)os 20,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Isak(i)(os) 15,Farm worker,Herma(o)(u)os 20,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Mousaios 8,Commoner,Herma(o)(u)os 20,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Herma(o)(u)os 17,,Oursenouphios / Ouersenouphios 1,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Ioannes 56,,Oursenouphios / Ouersenouphios 1,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Isak(i)(os) 15,Farm worker,Oursenouphios / Ouersenouphios 1,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Mousaios 8,Commoner,Oursenouphios / Ouersenouphios 1,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Herma(o)(u)os 17,,Palos 3,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Ioannes 56,,Palos 3,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Isak(i)(os) 15,Farm worker,Palos 3,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Mousaios 8,Commoner,Palos 3,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Herma(o)(u)os 17,,Panoube 1,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Ioannes 56,,Panoube 1,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Isak(i)(os) 15,Farm worker,Panoube 1,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Mousaios 8,Commoner,Panoube 1,,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Herma(o)(u)os 17,,Phoibammon 43,Farm worker,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Ioannes 56,,Phoibammon 43,Farm worker,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Isak(i)(os) 15,Farm worker,Phoibammon 43,Farm worker,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Mousaios 8,Commoner,Phoibammon 43,Farm worker,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Herma(o)(u)os 17,,Psenthaesis 4,Aristocrat/Government Officials,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Antinoopolis
Ioannes 56,,Psenthaesis 4,Aristocrat/Government Officials,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Isak(i)(os) 15,Farm worker,Psenthaesis 4,Aristocrat/Government Officials,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,?
Mousaios 8,Commoner,Psenthaesis 4,Aristocrat/Government Officials,6,Legal,Legal,514,514,P.Cair.Masp. 1.67001,Aphrodito
Apollos 38,Farm worker,Anouphi(o)s 11,Craftsman,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 43,,Anouphi(o)s 11,Craftsman,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 45,,Anouphi(o)s 11,Craftsman,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 46,,Anouphi(o)s 11,Craftsman,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 47,,Anouphi(o)s 11,Craftsman,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Herma(o)(u)os 19,,Anouphi(o)s 11,Craftsman,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Herma(o)(u)os 20,,Anouphi(o)s 11,Craftsman,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Ioannes 58,,Anouphi(o)s 11,Craftsman,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,?
Oursenouphios / Ouersenouphios 1,,Anouphi(o)s 11,Craftsman,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Palos 3,,Anouphi(o)s 11,Craftsman,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Panoube 1,,Anouphi(o)s 11,Craftsman,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Phoibammon 43,Farm worker,Anouphi(o)s 11,Craftsman,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Psenthaesis 4,Aristocrat/Government Officials,Anouphi(o)s 11,Craftsman,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Hadrianos 2,,Apollos 2,Aristocrat/Government Officials,60,Legal Participant,Legal Participant,514,514.0,P.Flor. 3.280,Aphrodito
Abraam 3,Commoner,Apollos 38,Farm worker,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,?
Anouphi(o)s 11,Craftsman,Apollos 38,Farm worker,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 43,,Apollos 38,Farm worker,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 45,,Apollos 38,Farm worker,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 46,,Apollos 38,Farm worker,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 47,,Apollos 38,Farm worker,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Herma(o)(u)os 19,,Apollos 38,Farm worker,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Herma(o)(u)os 20,,Apollos 38,Farm worker,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Oursenouphios / Ouersenouphios 1,,Apollos 38,Farm worker,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Palos 3,,Apollos 38,Farm worker,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Panoube 1,,Apollos 38,Farm worker,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Phoibammon 43,Farm worker,Apollos 38,Farm worker,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Psenthaesis 4,Aristocrat/Government Officials,Apollos 38,Farm worker,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Anouphi(o)s 11,Craftsman,Biktor 43,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Apollos 38,Farm worker,Biktor 43,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 45,,Biktor 43,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 46,,Biktor 43,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 47,,Biktor 43,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Herma(o)(u)os 19,,Biktor 43,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Herma(o)(u)os 20,,Biktor 43,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Ioannes 58,,Biktor 43,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,?
Oursenouphios / Ouersenouphios 1,,Biktor 43,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Palos 3,,Biktor 43,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Panoube 1,,Biktor 43,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Phoibammon 43,Farm worker,Biktor 43,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Psenthaesis 4,Aristocrat/Government Officials,Biktor 43,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Abraam 3,Commoner,Biktor 45,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,?
Anouphi(o)s 11,Craftsman,Biktor 45,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Apollos 38,Farm worker,Biktor 45,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 43,,Biktor 45,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 46,,Biktor 45,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 47,,Biktor 45,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Herma(o)(u)os 19,,Biktor 45,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Herma(o)(u)os 20,,Biktor 45,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Oursenouphios / Ouersenouphios 1,,Biktor 45,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Palos 3,,Biktor 45,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Panoube 1,,Biktor 45,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Phoibammon 43,Farm worker,Biktor 45,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Psenthaesis 4,Aristocrat/Government Officials,Biktor 45,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Abraam 3,Commoner,Biktor 46,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,?
Anouphi(o)s 11,Craftsman,Biktor 46,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Apollos 38,Farm worker,Biktor 46,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 43,,Biktor 46,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 45,,Biktor 46,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 47,,Biktor 46,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Herma(o)(u)os 19,,Biktor 46,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Herma(o)(u)os 20,,Biktor 46,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Oursenouphios / Ouersenouphios 1,,Biktor 46,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Palos 3,,Biktor 46,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Panoube 1,,Biktor 46,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Phoibammon 43,Farm worker,Biktor 46,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Psenthaesis 4,Aristocrat/Government Officials,Biktor 46,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Abraam 3,Commoner,Biktor 47,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,?
Anouphi(o)s 11,Craftsman,Biktor 47,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Apollos 38,Farm worker,Biktor 47,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 43,,Biktor 47,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 45,,Biktor 47,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 46,,Biktor 47,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Herma(o)(u)os 19,,Biktor 47,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Herma(o)(u)os 20,,Biktor 47,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Oursenouphios / Ouersenouphios 1,,Biktor 47,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Palos 3,,Biktor 47,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Panoube 1,,Biktor 47,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Phoibammon 43,Farm worker,Biktor 47,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Psenthaesis 4,Aristocrat/Government Officials,Biktor 47,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Apollos 2,Aristocrat/Government Officials,Dau(e)id 4,,60,Legal Participant,Legal Participant,514,514.0,P.Flor. 3.280,Aphrodito
Hadrianos 2,,Dau(e)id 4,,60,Legal Participant,Legal Participant,514,514.0,P.Flor. 3.280,Aphrodito
Apollos 2,Aristocrat/Government Officials,Hadrianos 2,,60,Legal Participant,Legal Participant,514,514.0,P.Flor. 3.280,Aphrodito
Anouphi(o)s 11,Craftsman,Herma(o)(u)os 19,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Apollos 38,Farm worker,Herma(o)(u)os 19,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 43,,Herma(o)(u)os 19,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 45,,Herma(o)(u)os 19,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 46,,Herma(o)(u)os 19,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 47,,Herma(o)(u)os 19,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Herma(o)(u)os 20,,Herma(o)(u)os 19,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Ioannes 58,,Herma(o)(u)os 19,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,?
Oursenouphios / Ouersenouphios 1,,Herma(o)(u)os 19,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Palos 3,,Herma(o)(u)os 19,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Panoube 1,,Herma(o)(u)os 19,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Phoibammon 43,Farm worker,Herma(o)(u)os 19,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Psenthaesis 4,Aristocrat/Government Officials,Herma(o)(u)os 19,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Anouphi(o)s 11,Craftsman,Herma(o)(u)os 20,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Apollos 38,Farm worker,Herma(o)(u)os 20,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 43,,Herma(o)(u)os 20,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 45,,Herma(o)(u)os 20,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 46,,Herma(o)(u)os 20,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 47,,Herma(o)(u)os 20,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Herma(o)(u)os 19,,Herma(o)(u)os 20,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Ioannes 58,,Herma(o)(u)os 20,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,?
Oursenouphios / Ouersenouphios 1,,Herma(o)(u)os 20,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Palos 3,,Herma(o)(u)os 20,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Panoube 1,,Herma(o)(u)os 20,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Phoibammon 43,Farm worker,Herma(o)(u)os 20,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Psenthaesis 4,Aristocrat/Government Officials,Herma(o)(u)os 20,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Abraam 3,Commoner,Oursenouphios / Ouersenouphios 1,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,?
Anouphi(o)s 11,Craftsman,Oursenouphios / Ouersenouphios 1,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Apollos 38,Farm worker,Oursenouphios / Ouersenouphios 1,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 43,,Oursenouphios / Ouersenouphios 1,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 45,,Oursenouphios / Ouersenouphios 1,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 46,,Oursenouphios / Ouersenouphios 1,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Biktor 47,,Oursenouphios / Ouersenouphios 1,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Herma(o)(u)os 19,,Oursenouphios / Ouersenouphios 1,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Herma(o)(u)os 20,,Oursenouphios / Ouersenouphios 1,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Palos 3,,Oursenouphios / Ouersenouphios 1,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Panoube 1,,Oursenouphios / Ouersenouphios 1,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
Phoibammon 43,Farm worker,Oursenouphios / Ouersenouphios 1,,6,Legal Participant,Legal Participant,514,514,P.Cair.Masp. 1.67001,Aphrodito
